person_id,name,degree,pagerank,betweenness,call_count,transaction_count,transaction_amount,case_count,location_count,vehicle_count,investigative_score,assessment,score_band
P036,Yuvraj Bhalla,73,0.007719185266364567,0.009121627209260907,46,39,2218335.6100000003,6,10,0,80.82,YES,VERY HIGH
P126,Mugdha Prakash,70,0.009804796427313871,0.009346271442780744,59,21,1136368.37,3,5,0,76.92,YES,HIGH
P098,Aarush Kakar,71,0.008751365497002839,0.00920754378365561,54,26,1289925.6099999999,3,12,0,75.65,YES,HIGH
P147,Aashi Wali,68,0.00832339340074045,0.008998427660654871,56,25,1356682.21,4,14,1,75.43,YES,HIGH
P096,Raghav Bajaj,70,0.007245106604289747,0.009339339138032018,46,30,1517077.8499999999,4,15,0,71.93,YES,HIGH
P028,Urmi Sachdeva,68,0.008394187131620377,0.008531671235236571,47,30,1614176.2200000002,5,9,0,71.92,YES,HIGH
P038,Devika Anand,68,0.007202851741946124,0.008898709166113327,49,26,1313120.6099999999,6,12,0,70.18,YES,HIGH
P114,Bhanumati Ramakrishnan,67,0.007415909642637487,0.009333331732269284,44,28,1405356.6,6,9,1,69.09,YES,HIGH
P122,Noah Kamdar,67,0.007576639261534186,0.008864320671742722,55,25,1392764.42,2,9,1,68.43,YES,HIGH
P052,Mason Goel,66,0.007830213667642544,0.00834629818090478,51,20,1028786.6,4,9,1,64.35,YES,HIGH
P102,Ridhi Bhatia,68,0.007241514785557158,0.008627722066311419,48,27,1248349.8,2,10,1,63.37,YES,HIGH
P026,Faqid Tailor,65,0.0072338673195357734,0.008393848875417897,47,25,1101660.65,6,3,0,61.4,YES,HIGH
P031,Darpan Sethi,63,0.006787147606478341,0.0071230096271707915,54,22,1116194.9100000001,7,7,0,60.95,YES,HIGH
P020,Keya Sani,63,0.008323155369616798,0.007544739698255723,44,28,1208287.1900000002,4,11,0,60.76,YES,HIGH
P078,Aarini Jain,65,0.007626290124879973,0.0082716805835285,47,24,1014323.6199999999,3,8,0,59.68,NO,MEDIUM
P101,Maya Cheema,63,0.0068700921084880245,0.007100866788882761,48,24,1235323.52,5,11,0,58.6,NO,MEDIUM
P024,Vedhika Mane,61,0.007325777039305886,0.008038069745928413,44,25,1171290.25,4,10,1,57.75,NO,MEDIUM
P011,Bhavna Singhal,63,0.0062773088129602465,0.0075921770944089775,41,29,1729881.56,3,11,0,57.39,NO,MEDIUM
P003,Yash Patla,63,0.006514705371821412,0.006882084726893384,51,18,800661.3899999999,7,12,0,57.12,NO,MEDIUM
P146,Qasim Pillai,62,0.008050616511044042,0.007373275251257966,42,24,1047547.4199999999,2,13,0,55.13,NO,MEDIUM
P116,Damini Gopal,62,0.0073032646727662345,0.007505461854013457,44,24,1315393.52,2,8,1,55.01,NO,MEDIUM
P084,Vanya Krishnamurthy,61,0.007669464216491555,0.007148313897973424,44,23,1210120.7600000002,3,8,0,54.6,NO,MEDIUM
P046,Adya Lala,59,0.007109448045078083,0.006748114042505106,41,28,1493558.0099999998,5,9,0,54.44,NO,MEDIUM
P081,Vanya Radhakrishnan,60,0.007327646274685793,0.006724126881699805,45,22,1336466.6400000001,1,15,1,53.49,NO,MEDIUM
P017,Kamya Sarkar,65,0.006981757576626051,0.00791444024503707,43,24,1058050.52,1,8,2,53.26,NO,MEDIUM
P109,Abeer Andra,61,0.008432776081649676,0.006218144604919016,45,21,1040421.68,3,9,0,53.22,NO,MEDIUM
P047,Kritika Mittal,56,0.007585981482538445,0.006612965588593793,43,17,799244.69,7,16,0,53.14,NO,MEDIUM
P088,Naksh Bora,63,0.00793503095707616,0.006983335456466011,45,21,1076842.73,1,7,0,52.68,NO,MEDIUM
P053,Anjali Brahmbhatt,61,0.0072011450478495,0.0071021357388186815,45,25,938958.27,4,8,0,52.41,NO,MEDIUM
P148,Aarnav Ganguly,59,0.007070707825896953,0.0070329232536323425,44,26,1400485.17,1,9,0,51.26,NO,MEDIUM
P079,Gaurav Cheema,59,0.00800970045121458,0.006593042516044754,42,23,997434.25,3,9,0,50.38,NO,MEDIUM
P144,Andrew Bhatti,60,0.007983833018076886,0.006834246765748267,44,20,856904.15,0,13,1,50.37,NO,MEDIUM
P129,Rachita Thakur,58,0.007847970040969746,0.006593242154758599,38,24,1352401.48,3,7,0,50.01,NO,MEDIUM
P067,Sachi Bhargava,57,0.007056268636866735,0.006076510222471872,50,15,714286.56,5,13,0,49.79,NO,MEDIUM
P010,Jagat Sood,62,0.006925600860820293,0.0074913502660716854,38,26,1287152.37,1,7,0,49.61,NO,MEDIUM
P073,Michael Vasa,61,0.0073162618000219845,0.006945110523312114,45,22,1032261.94,1,7,0,49.39,NO,MEDIUM
P048,Oeshi Bath,55,0.007250921971025424,0.005482369708039589,37,26,1491301.56,5,16,0,49.39,NO,MEDIUM
P025,Sai Solanki,63,0.006569081259116396,0.006996127497306339,37,30,1224425.77,3,8,0,49.3,NO,MEDIUM
P110,Vincent Ratti,58,0.007307473054526305,0.006230305460447153,46,19,1023451.6099999999,4,7,0,49.27,NO,MEDIUM
P040,Prisha Bora,58,0.007497546492240084,0.006120076377417269,44,21,1020169.5700000001,2,15,2,48.99,NO,MEDIUM
P054,Nimrat Rout,56,0.0071451017354863065,0.005992451815903425,40,28,1465395.8200000003,5,6,0,48.94,NO,MEDIUM
P002,Naveen Mital,57,0.006450909813900543,0.006438044330097356,47,19,1217230.62,4,6,0,48.78,NO,MEDIUM
P108,Maanas Sem,54,0.007038748143561598,0.005691206079822403,36,23,1343848.79,8,10,0,48.5,NO,MEDIUM
P077,Lekha Kaur,56,0.007056030522627784,0.006292300713438514,45,16,827420.76,6,8,0,48.09,NO,MEDIUM
P058,Manthan Sahni,55,0.008390771696319063,0.005283774617921814,42,24,1426245.2999999998,2,9,0,47.87,NO,MEDIUM
P057,Anjali Merchant,56,0.005817678839649236,0.006092346254352754,44,20,1212477.38,7,7,0,47.78,NO,MEDIUM
P117,Faqid Rastogi,56,0.008133064181470686,0.005699117192507954,46,17,865920.2299999999,3,11,1,47.69,NO,MEDIUM
P044,Alka Singhal,55,0.008144900315028564,0.00573794533820833,39,22,1402059.26,2,10,0,47.36,NO,MEDIUM
P112,Quincy Chahal,57,0.006750573424940145,0.006255939147030967,43,21,1159914.54,2,14,0,47.24,NO,MEDIUM
P106,Ishanvi Kunda,60,0.006508540341511245,0.006833847812273158,45,18,920731.01,3,6,0,47.24,NO,MEDIUM
P005,Balhaar Mannan,54,0.008400403648773754,0.005942931190941042,35,21,1165682.37,5,8,0,46.98,NO,MEDIUM
P014,Mugdha Deep,59,0.006586479515075939,0.006488428474005919,48,16,846273.3,3,6,0,46.55,NO,MEDIUM
P111,Ojas Varty,57,0.007816581036760977,0.005693029342435383,33,32,1638381.8299999998,2,9,1,46.5,NO,MEDIUM
P012,Yashoda Mahajan,53,0.007226923095738944,0.005132140393644899,42,17,500154.48,10,16,0,46.41,NO,MEDIUM
P042,Nirja Madan,57,0.006394704089065569,0.005769677309849231,44,22,849765.97,5,13,0,45.6,NO,MEDIUM
P121,Manbir Parekh,57,0.00760343883507121,0.005921839228991586,36,24,1366630.7599999998,2,9,0,45.58,NO,MEDIUM
P139,Qasim Ratti,53,0.007318242018932503,0.005984099418759781,37,22,1134358.24,5,12,0,45.55,NO,MEDIUM
P071,Girik Kar,54,0.006803946509350189,0.005788895230667824,43,19,1106994.46,5,8,2,45.21,NO,MEDIUM
P127,Diya Garde,58,0.0070542265711114405,0.005990283409883521,40,24,1273067.3399999999,2,7,1,45.14,NO,MEDIUM
P023,Bhavini Ghosh,53,0.007108327518021229,0.005609491537971322,48,14,586513.5800000001,5,15,0,45.01,NO,MEDIUM
P037,Lakshit Dass,57,0.006599793604878759,0.006886510723916061,39,22,1229680.7000000002,1,9,0,44.76,NO,MEDIUM
P045,Qarin Rau,55,0.007223426931182298,0.006107994538578471,45,13,577890.5900000001,4,13,1,44.74,NO,MEDIUM
P022,Rajata Reddy,58,0.006162057261964754,0.006122520875218346,44,24,1121421.21,2,9,0,44.24,NO,MEDIUM
P063,Mason Sekhon,54,0.006832363618949821,0.0062911749341912045,38,24,1237650.64,2,12,1,43.7,NO,MEDIUM
