account_id,account_number,person_id,bank
BA001,1608279270713858,P001,HDFC
BA002,8279826528472040,P002,SBI
BA003,5863450451986504,P003,SBI
BA004,4953983757491338,P004,Canara
BA005,4706513233347275,P005,HDFC
BA006,2429224524604373,P006,Axis
BA007,6473239563272242,P007,Axis
BA008,8725307110049786,P008,Axis
BA009,2395953929380422,P009,ICICI
BA010,9866436518701547,P010,HDFC
BA011,2708754101231468,P011,ICICI
BA012,2565042966103557,P012,ICICI
BA013,1711017499069839,P013,ICICI
BA014,5981012522176904,P014,Canara
BA015,2068331840852179,P015,Canara
BA016,5753972519696278,P016,SBI
BA017,1426431454675166,P017,SBI
BA018,9740553162700002,P018,HDFC
BA019,9413064576082321,P019,HDFC
BA020,4544075073502067,P020,Canara
BA021,2256412214088556,P021,SBI
BA022,7302636252466106,P022,SBI
BA023,3607005645419385,P023,ICICI
BA024,4409634232723616,P024,Axis
BA025,8724367931953627,P025,Axis
BA026,4772534971793416,P026,Axis
BA027,3303437076333671,P027,Canara
BA028,3350339749052996,P028,Axis
BA029,3743842804450907,P029,Axis
BA030,1813047018265899,P030,ICICI
BA031,8903851581911876,P031,HDFC
BA032,0361745958363535,P032,Canara
BA033,9088251034837109,P033,SBI
BA034,3625945177918454,P034,ICICI
BA035,5160390912008495,P035,Axis
BA036,3324650512969492,P036,SBI
BA037,0058988545916967,P037,ICICI
BA038,1601157807674851,P038,Canara
BA039,4834033500856171,P039,Axis
BA040,3902856055505696,P040,Canara
BA041,8142157229108370,P041,ICICI
BA042,6899769666528071,P042,SBI
BA043,3157256554295188,P043,HDFC
BA044,1674540889249058,P044,Axis
BA045,4784100046291678,P045,Canara
BA046,7173975961290050,P046,SBI
BA047,2773565101471036,P047,SBI
BA048,0141240694174679,P048,HDFC
BA049,5710113525906464,P049,ICICI
BA050,3581506561950875,P050,HDFC
BA051,6310775222202074,P051,HDFC
BA052,1870220761285074,P052,ICICI
BA053,4763552553535381,P053,ICICI
BA054,5333713153115911,P054,ICICI
BA055,4275008206981996,P055,SBI
BA056,8522932133968374,P056,SBI
BA057,3452756159941439,P057,Axis
BA058,9988984278520641,P058,Axis
BA059,9479467156455422,P059,HDFC
BA060,4823209057856291,P060,HDFC
BA061,4534637352227617,P061,Axis
BA062,5211050996801186,P062,Canara
BA063,7788716008349612,P063,HDFC
BA064,3620036720887344,P064,Canara
BA065,2388834676995367,P065,Canara
BA066,2223524953508157,P066,ICICI
BA067,3454690967802183,P067,SBI
BA068,9331332573775948,P068,Axis
BA069,7054577129285214,P069,SBI
BA070,6777340795254154,P070,Axis
BA071,0797285149731220,P071,SBI
BA072,9809270209796146,P072,Axis
BA073,6502607714192507,P073,SBI
BA074,9038408452291199,P074,ICICI
BA075,8888337789650903,P075,Canara
BA076,8836013609504697,P076,Axis
BA077,6728489594843198,P077,Canara
BA078,4411430389492575,P078,Axis
BA079,5302212520972817,P079,Axis
BA080,1795164463822054,P080,ICICI
BA081,0744948129022822,P081,SBI
BA082,9125039375868749,P082,Axis
BA083,2770533195502025,P083,SBI
BA084,5292407643391304,P084,ICICI
BA085,2474601385243596,P085,HDFC
BA086,2738084364032703,P086,Canara
BA087,3554810604534153,P087,Axis
BA088,2191660436043640,P088,ICICI
BA089,1003063649659348,P089,SBI
BA090,0478532918305703,P090,Axis
BA091,7547142294197974,P091,SBI
BA092,6492375617942726,P092,HDFC
BA093,3458104987345421,P093,Axis
BA094,5686757100108032,P094,Canara
BA095,8551645276962844,P095,Axis
BA096,4165144997839930,P096,Canara
BA097,1601807143945314,P097,SBI
BA098,0599687723312205,P098,Axis
BA099,1623757914532136,P099,ICICI
BA100,0359437844469558,P100,ICICI
BA101,8428479103907533,P101,HDFC
BA102,1139128191922145,P102,ICICI
BA103,4348477947000059,P103,HDFC
BA104,7177390380933242,P104,SBI
BA105,4494583818407522,P105,Canara
BA106,5651668304117761,P106,SBI
BA107,4637616818621659,P107,Canara
BA108,6579645863242439,P108,Canara
BA109,4450107364932516,P109,HDFC
BA110,4840468105075877,P110,ICICI
BA111,9435968864167338,P111,ICICI
BA112,2473733690383840,P112,HDFC
BA113,2324966892468950,P113,HDFC
BA114,7517854068686158,P114,SBI
BA115,4403377279222992,P115,HDFC
BA116,3269915855119338,P116,ICICI
BA117,3718233772341461,P117,HDFC
BA118,4639426083544343,P118,HDFC
BA119,4108113968563073,P119,Canara
BA120,7480370510433887,P120,HDFC
BA121,6605713976674198,P121,SBI
BA122,7839867701615216,P122,HDFC
BA123,8948300930523746,P123,Axis
BA124,7721974811400951,P124,Axis
BA125,3895992570581801,P125,Canara
BA126,5338387857125386,P126,Canara
BA127,8864859842304871,P127,Axis
BA128,1310857302182637,P128,Canara
BA129,1539870034260765,P129,Canara
BA130,6269955190290574,P130,ICICI
BA131,5912052674253974,P131,ICICI
BA132,7196021448451601,P132,HDFC
BA133,6919822395961786,P133,Axis
BA134,9173866780851890,P134,SBI
BA135,7740680425642257,P135,Axis
BA136,1730677958652693,P136,Axis
BA137,3549131593263845,P137,ICICI
BA138,5101509459980702,P138,ICICI
BA139,0457553099031297,P139,Canara
BA140,8892001791621943,P140,SBI
BA141,8127747042464764,P141,ICICI
BA142,3740780289742404,P142,Canara
BA143,1986143654468251,P143,SBI
BA144,9621286464125186,P144,ICICI
BA145,4157955436313599,P145,Axis
BA146,6255392905731939,P146,Axis
BA147,7763870371290347,P147,SBI
BA148,1971946168413780,P148,SBI
BA149,1979259772327068,P149,ICICI
BA150,6972412298544817,P150,ICICI
