person_id,name,age,gender,occupation,city
P001,Charita Kurian,58,Male,Business,Rajahmundry
P002,Naveen Mital,35,Male,Driver,Guntur
P003,Yash Patla,24,Male,Trader,Visakhapatnam
P004,Mahika Dey,20,Male,Business,Guntur
P005,Balhaar Mannan,32,Male,Trader,Guntur
P006,Ridhi Rao,59,Female,Driver,Visakhapatnam
P007,Anjali Mittal,55,Female,Unknown,Vijayawada
P008,Mohammed Dhar,28,Female,Employee,Hyderabad
P009,Veda Hari,27,Male,Unknown,Hyderabad
P010,Jagat Sood,24,Male,Student,Vijayawada
P011,Bhavna Singhal,40,Female,Trader,Hyderabad
P012,Yashoda Mahajan,20,Female,Trader,Vijayawada
P013,Simon Bhatt,42,Male,Trader,Hyderabad
P014,Mugdha Deep,58,Female,Trader,Guntur
P015,Timothy Dhar,22,Male,Mechanic,Guntur
P016,Chandran Deshpande,36,Male,Unknown,Guntur
P017,Kamya Sarkar,24,Female,Employee,Visakhapatnam
P018,Fariq Bhagat,58,Female,Driver,Hyderabad
P019,Gautam Srinivasan,40,Male,Mechanic,Hyderabad
P020,Keya Sani,59,Male,Trader,Rajahmundry
P021,Rachit Chana,28,Male,Driver,Visakhapatnam
P022,Rajata Reddy,42,Female,Mechanic,Rajahmundry
P023,Bhavini Ghosh,53,Male,Mechanic,Hyderabad
P024,Vedhika Mane,21,Male,Unknown,Vijayawada
P025,Sai Solanki,38,Female,Employee,Vijayawada
P026,Faqid Tailor,31,Female,Driver,Rajahmundry
P027,Ekiya Sandhu,49,Female,Mechanic,Visakhapatnam
P028,Urmi Sachdeva,27,Female,Driver,Guntur
P029,Tanmayi Mandal,53,Female,Mechanic,Bhimavaram
P030,Mitali Deo,45,Female,Employee,Guntur
P031,Darpan Sethi,26,Female,Business,Vijayawada
P032,Simon Wadhwa,25,Male,Mechanic,Guntur
P033,Manan Saha,45,Male,Student,Visakhapatnam
P034,Sanaya Prakash,56,Female,Trader,Hyderabad
P035,Qarin Prabhakar,53,Male,Mechanic,Rajahmundry
P036,Yuvraj Bhalla,25,Female,Unknown,Rajahmundry
P037,Lakshit Dass,39,Male,Employee,Visakhapatnam
P038,Devika Anand,28,Female,Business,Rajahmundry
P039,Parth Kapadia,34,Male,Trader,Vijayawada
P040,Prisha Bora,58,Female,Unknown,Rajahmundry
P041,Madhav Kalita,50,Male,Driver,Hyderabad
P042,Nirja Madan,28,Male,Trader,Hyderabad
P043,Tripti Trivedi,49,Male,Business,Hyderabad
