phone_id,phone_number,person_id,operator
PH001,9288403665,P071,BSNL
PH002,9304464541,P062,Vi
PH003,9150632127,P113,Jio
PH004,9925322981,P074,Airtel
PH005,9316081261,P070,Vi
PH006,9032960793,P082,Jio
PH007,9934270070,P036,Airtel
PH008,9093751181,P060,BSNL
PH009,9791096767,P040,Airtel
PH010,9318924355,P017,BSNL
PH011,9580905174,P105,Vi
PH012,9849867395,P139,BSNL
PH013,9032497691,P107,Jio
PH014,9197462708,P053,BSNL
PH015,9855620020,P100,Jio
PH016,9743384215,P148,BSNL
PH017,9284930502,P123,Jio
PH018,9077782766,P091,Vi
PH019,9788857751,P100,BSNL
PH020,9533863432,P138,Airtel
PH021,9595264171,P125,Airtel
PH022,9821896982,P070,BSNL
PH023,9750955108,P125,Jio
PH024,9382033832,P100,Vi
PH025,9124003085,P104,Airtel
PH026,9394678190,P120,Airtel
PH027,9309663293,P137,Jio
PH028,9088464100,P101,Jio
PH029,9636652271,P022,BSNL
PH030,9928557620,P035,BSNL
PH031,9600939274,P047,Jio
PH032,9698034608,P067,BSNL
PH033,9145510863,P084,Airtel
PH034,9148695564,P117,Vi
PH035,9651311315,P087,BSNL
PH036,9665099788,P072,BSNL
PH037,9678907181,P065,Jio
PH038,9062128499,P121,Jio
PH039,9275491308,P139,Jio
PH040,9335234430,P090,Airtel
PH041,9502159410,P018,Jio
PH042,9840673572,P008,Airtel
PH043,9931360691,P052,Jio
PH044,9496622598,P040,Airtel
PH045,9796723271,P033,BSNL
PH046,9564697843,P030,Airtel
PH047,9865803825,P120,Vi
PH048,9314218568,P095,Airtel
PH049,9150864712,P030,Airtel
PH050,9626209679,P080,Jio
PH051,9859291347,P149,Jio
PH052,9740511305,P080,BSNL
PH053,9230613448,P102,Airtel
PH054,9446997409,P020,Airtel
PH055,9256489325,P027,Vi
PH056,9677959855,P031,Jio
PH057,9483399941,P089,BSNL
PH058,9206013109,P095,Jio
PH059,9526168644,P130,Vi
PH060,9036485360,P004,BSNL
PH061,9238012001,P126,Jio
PH062,9745357216,P111,Vi
PH063,9776995344,P118,Airtel
PH064,9750682439,P112,Airtel
PH065,9140623535,P134,Vi
PH066,9479422953,P138,BSNL
PH067,9582309032,P120,BSNL
PH068,9000457989,P069,Vi
PH069,9626376828,P063,Jio
PH070,9139906051,P072,BSNL
PH071,9821620401,P063,BSNL
